Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2015,2/19/2015," Traded by the Denver Nuggets with Alonzo Gee to the Portland Trail Blazers for Will Barton, Victor Claver, Thomas Robinson and a 2016 1st round draft pick (Malik Beasley was later selected). (DEN 2016 1st round pick received from POR is lottery protected.)",Arron Afflalo,,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Utah Jazz with Steve Novak to the Oklahoma City Thunder",Enes Freedom,As,no,no
2015,2/19/2015, Traded by the Houston Rockets (as a future 2019 2nd round draft pick) with Alexey Shved and a 2017 2nd round draft pick (Ognjen Jaramaz was later selected) to the New York Knicks for Pablo Prigioni.,Kyle Guy,Traded,no,no
2015,2/19/2015, Traded by the Denver Nuggets with Chukwudiebere Maduabum and a 2016 1st round draft pick (Furkan Korkmaz was later selected) to the Philadelphia 76ers for Cenk Akyol and cash.,JaVale McGee,Traded,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Phoenix Suns with Zoran Dragić to the Miami Heat",Goran Dragić,As,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Miami Heat (as a future 2021 1st round draft pick) with Danny Granger and a 2017 1st round draft pick to the Phoenix Suns",Tre Mann,As,no,no
2015,2/19/2015," Traded by the Portland Trail Blazers (as a future 2016 1st round draft pick) with Will Barton, Victor Claver and Thomas Robinson to the Denver Nuggets for Arron Afflalo and Alonzo Gee. (DEN 2016 1st round pick received from POR is lottery protected.)",Malik Beasley,Traded,no,no
2015,2/19/2015, Waived by the New Orleans Pelicans.,Ish Smith,Waived,no,no
2015,2/19/2015, Signed a contract with the Minnesota Timberwolves,Lorenzo Brown,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2015,2/19/2015," As part of a 3-team trade, traded by the Boston Celtics (as a future 2016 1st round draft pick) with Marcus Thornton to the Phoenix Suns",Skal Labissière,As,no,no
2015,2/19/2015, Signed a 2nd 10-day contract with the Memphis Grizzlies.,JaMychal Green,Signed,Memphis Grizzlies.,Memphis Grizzlies
2015,2/19/2015," As part of a 3-team trade, traded by the Oklahoma City Thunder with Grant Jerrett, Tibor Pleiß and a 2018 1st round draft pick (Josh Okogie was later selected) to the Utah Jazz",Kendrick Perkins,As,no,no
2015,2/19/2015," Traded by the Portland Trail Blazers with Victor Claver, Thomas Robinson and a 2016 1st round draft pick (Malik Beasley was later selected) to the Denver Nuggets for Arron Afflalo and Alonzo Gee. (DEN 2016 1st round pick received from POR is lottery protected.)",Will Barton,,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Phoenix Suns with Miles Plumlee to the Milwaukee Bucks",Tyler Ennis,As,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Phoenix Suns to the Boston Celtics",Isaiah Thomas,As,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Detroit Pistons with Kyle Singler and a 2019 2nd round draft pick (Isaiah Roby was later selected) to the Oklahoma City Thunder",D.J. Augustin,As,no,no
2015,2/19/2015," Traded by the Oklahoma City Thunder with Latavious Williams, cash and a 2015 2nd round draft pick to the New Orleans Pelicans for a 2016 2nd round draft pick. (NOP 2015 2nd round pick received from OKC was protected and not conveyed.) (OKC 2016 2nd round pick received from NOP was protected and not conveyed.)",Ish Smith,,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Detroit Pistons with D.J. Augustin and a 2019 2nd round draft pick (Isaiah Roby was later selected) to the Oklahoma City Thunder",Kyle Singler,As,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Detroit Pistons (as a future 2019 2nd round draft pick) with D.J. Augustin and Kyle Singler to the Oklahoma City Thunder",Isaiah Roby,As,no,no
2015,2/19/2015, Signed a contract with the Golden State Warriors,James Michael McAdoo,Signed,Golden State Warriors,Golden State Warriors
2015,2/19/2015, Traded by the Houston Rockets (as a future 2015 2nd round draft pick) with Isaiah Canaan to the Philadelphia 76ers for K.J. McDaniels. (2015 2nd-rd pick acquired by PHI will be the worse of MIN & DEN picks),Richaun Holmes,Traded,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Oklahoma City Thunder (as a future 2018 1st round draft pick) with Grant Jerrett, Kendrick Perkins and Tibor Pleiß to the Utah Jazz",Josh Okogie,As,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Oklahoma City Thunder to the Detroit Pistons",Reggie Jackson,As,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Philadelphia 76ers to the Milwaukee Bucks",Michael Carter-Williams,As,no,no
2015,2/19/2015, Traded by the Houston Rockets with a 2015 2nd round draft pick (Richaun Holmes was later selected) to the Philadelphia 76ers for K.J. McDaniels. (2015 2nd-rd pick acquired by PHI will be the worse of MIN & DEN picks),Isaiah Canaan,Traded,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Phoenix Suns (as a future 2018 1st round draft pick) to the Philadelphia 76ers",Mikal Bridges,As,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Phoenix Suns with Tyler Ennis to the Milwaukee Bucks",Miles Plumlee,As,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Milwaukee Bucks with Kendall Marshall to the Phoenix Suns",Brandon Knight,As,no,no
2015,2/19/2015, Traded by the Denver Nuggets (as a future 2016 1st round draft pick) with Chukwudiebere Maduabum and JaVale McGee to the Philadelphia 76ers for Cenk Akyol and cash.,Furkan Korkmaz,Traded,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Detroit Pistons with Gigi Datome to the Boston Celtics",Jonas Jerebko,As,no,no
2015,2/19/2015, Traded by the Minnesota Timberwolves to the Brooklyn Nets for Kevin Garnett.,Thaddeus Young,Traded,no,no
2020,2/19/2020, Assigned to the of the G-League.,Omari Spellman,Assigned,no,no
2020,2/19/2020, Assigned to the of the G-League.,Jarred Vanderbilt,Assigned,no,no
2021,2/19/2021, Signed a two-way contract with the Houston Rockets,Justin Patton,Signed,Houston Rockets,Houston Rockets
2022,2/19/2022, Waived by the Chicago Bulls.,Alfonzo McKinnie,Waived,no,no
2022,2/19/2022, Waived by the Cleveland Cavaliers.,Kevin Pangos,Waived,no,no
2022,2/19/2022, Signed a contract with the Chicago Bulls,Tristan Thompson,Signed,Chicago Bulls,Chicago Bulls
2012,2/2/2012, Signed as a free agent with the Orlando Magic.,Ish Smith,Signed,Orlando Magic.,Orlando Magic
2014,2/2/2014, Recalled from the of the G-League.,MarShon Brooks,Recalled,no,no
2015,2/2/2015, Signed a 2nd 10-day contract with the Golden State Warriors.,James Michael McAdoo,Signed,Golden State Warriors.,Golden State Warriors
2015,2/2/2015, Signed a 10-day contract with the Memphis Grizzlies.,JaMychal Green,Signed,Memphis Grizzlies.,Memphis Grizzlies
2017,2/2/2017, Traded by the Milwaukee Bucks with cash considerations to the Charlotte Hornets for Spencer Hawes and Roy Hibbert.,Miles Plumlee,Traded,no,no
2018,2/2/2018, Signed a 10-day contract with the Phoenix Suns.,Josh Gray,Signed,Phoenix Suns.,Phoenix Suns
2018,2/2/2018, Recalled from the Texas Legends of the G-League.,Kyle Collinsworth,Recalled,no,no
2019,2/2/2019, Recalled from the Texas Legends of the G-League.,Gary Trent Jr.,Recalled,no,no
2019,2/2/2019, Recalled from the Canton Charge of the G-League.,Kobi Simmons,Recalled,no,no
2019,2/2/2019, Recalled from the Long Island Nets of the G-League.,Mitch Creek,Recalled,no,no
2002,2/20/2002," Traded by the Boston Celtics with Randy Brown, Milt Palacio and a 2002 1st round draft pick (Casey Jacobsen was later selected) to the Phoenix Suns for Tony Delk and Rodney Rogers.",Joe Johnson,Traded,no,no
2012,2/20/2012, Recalled from the of the G-League.,Marcus Morris,Recalled,no,no
2013,2/20/2013," Traded by the Houston Rockets with Toney Douglas, Patrick Patterson and cash to the Sacramento Kings for Francisco García, Tyler Honeycutt and Thomas Robinson.",Cole Aldrich,Traded,no,no
2013,2/20/2013," Traded by the Houston Rockets with Cole Aldrich, Toney Douglas and cash to the Sacramento Kings for Francisco García, Tyler Honeycutt and Thomas Robinson.",Patrick Patterson,Traded,no,no
2014,2/20/2014, Traded by the Houston Rockets to the Denver Nuggets for Jordan Hamilton.,Aaron Brooks,Traded,no,no
2014,2/20/2014, Traded by the Charlotte Bobcats with Jeff Adrien to the Milwaukee Bucks for Gary Neal and Luke Ridnour.,Ramon Sessions,Traded,no,no
2014,2/20/2014, Traded by the Philadelphia 76ers with Lavoy Allen to the Indiana Pacers for Danny Granger and a 2015 2nd round draft pick (Luka Mitrović was later selected).,Evan Turner,Traded,no,no
2014,2/20/2014," Traded by the Cleveland Cavaliers (as a future 2014 2nd round draft pick) with Earl Clark, Henry Sims and a 2014 2nd round draft pick (Vasilije Micić was later selected) to the Philadelphia 76ers for Spencer Hawes.",Jerami Grant,Traded,no,no
2015,2/20/2015, Signed a 10-day contract with the Sacramento Kings.,David Stockton,Signed,Sacramento Kings.,Sacramento Kings
2015,2/20/2015, Signed a 2nd 10-day contract with the Philadelphia 76ers.,Tim Frazier,Signed,Philadelphia 76ers.,Philadelphia 76ers
2015,2/20/2015, Assigned to the of the G-League.,James Michael McAdoo,Assigned,no,no
2017,2/20/2017," Traded by the New Orleans Pelicans with Tyreke Evans, Langston Galloway, a 2017 1st round draft pick (Zach Collins was later selected) and a 2017 2nd round draft pick (Frank Mason III was later selected) to the Sacramento Kings for Omri Casspi and DeMarcus Cousins. (2017 1st-rd pick is top-3 protected) (2017 2nd-rd pick going to SAC is PHI's pick)",Buddy Hield,,no,no
2017,2/20/2017," Traded by the New Orleans Pelicans (as a future 2017 1st round draft pick) with Tyreke Evans, Langston Galloway, Buddy Hield and a 2017 2nd round draft pick (Frank Mason III was later selected) to the Sacramento Kings for Omri Casspi and DeMarcus Cousins. (2017 1st-rd pick is top-3 protected) (2017 2nd-rd pick going to SAC is PHI's pick)",Zach Collins,,no,no
2017,2/20/2017," Traded by the Sacramento Kings with DeMarcus Cousins to the New Orleans Pelicans for Tyreke Evans, Langston Galloway, Buddy Hield, a 2017 1st round draft pick (Zach Collins was later selected) and a 2017 2nd round draft pick (Frank Mason III was later selected). (2017 1st-rd pick is top-3 protected) (2017 2nd-rd pick going to SAC is PHI's pick)",Omri Casspi,,no,no
2017,2/20/2017," Traded by the New Orleans Pelicans (as a future 2017 2nd round draft pick) with Tyreke Evans, Langston Galloway, Buddy Hield and a 2017 1st round draft pick (Zach Collins was later selected) to the Sacramento Kings for Omri Casspi and DeMarcus Cousins. (2017 1st-rd pick is top-3 protected) (2017 2nd-rd pick going to SAC is PHI's pick)",Frank Mason III,,no,no
2017,2/20/2017," Traded by the Sacramento Kings with Omri Casspi to the New Orleans Pelicans for Tyreke Evans, Langston Galloway, Buddy Hield, a 2017 1st round draft pick (Zach Collins was later selected) and a 2017 2nd round draft pick (Frank Mason III was later selected). (2017 1st-rd pick is top-3 protected) (2017 2nd-rd pick going to SAC is PHI's pick)",DeMarcus Cousins,,no,no
2017,2/20/2017," Traded by the New Orleans Pelicans with Langston Galloway, Buddy Hield, a 2017 1st round draft pick (Zach Collins was later selected) and a 2017 2nd round draft pick (Frank Mason III was later selected) to the Sacramento Kings for Omri Casspi and DeMarcus Cousins. (2017 1st-rd pick is top-3 protected) (2017 2nd-rd pick going to SAC is PHI's pick)",Tyreke Evans,,no,no
2017,2/20/2017," Traded by the New Orleans Pelicans with Tyreke Evans, Buddy Hield, a 2017 1st round draft pick (Zach Collins was later selected) and a 2017 2nd round draft pick (Frank Mason III was later selected) to the Sacramento Kings for Omri Casspi and DeMarcus Cousins. (2017 1st-rd pick is top-3 protected) (2017 2nd-rd pick going to SAC is PHI's pick)",Langston Galloway,,no,no
2018,2/20/2018, Assigned to the of the G-League.,Naz Mitrou-Long,Assigned,no,no
2018,2/20/2018, Recalled from the of the G-League.,Naz Mitrou-Long,Recalled,no,no
2018,2/20/2018, Signed a 10-day contract with the Orlando Magic.,Rashad Vaughn,Signed,Orlando Magic.,Orlando Magic
2019,2/20/2019, Signed a 10-day contract with the Toronto Raptors.,Jodie Meeks,Signed,Toronto Raptors.,Toronto Raptors
2019,2/20/2019, Converted from a two-way contract to a regular contract by the Atlanta Hawks.,Jaylen Adams,Converted,no,no
2019,2/20/2019, Assigned to the of the G-League.,Emanuel Terry,Assigned,no,no
2019,2/20/2019, Signed a 10-day contract with the Miami Heat.,Emanuel Terry,Signed,Miami Heat.,Miami Heat
2019,2/20/2019, Signed a contract for the rest of the season with the Oklahoma City Thunder,Markieff Morris,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2019,2/20/2019, Signed a 10-day contract with the New York Knicks.,Henry Ellenson,Signed,New York Knicks.,New York Knicks
2019,2/20/2019, Signed a 10-day contract with the Atlanta Hawks.,Jordan Sibert,Signed,Atlanta Hawks.,Atlanta Hawks
2020,2/20/2020, Signed a contract for the rest of the season with the Los Angeles Clippers,Reggie Jackson,Signed,Los Angeles Clippers,Los Angeles Clippers
2020,2/20/2020, Recalled from the of the G-League.,John Wall,Recalled,no,no
2020,2/20/2020, Assigned to the of the G-League.,John Wall,Assigned,no,no
2020,2/20/2020, Signed a contract for the rest of the season with the Houston Rockets,DeMarre Carroll,Signed,Houston Rockets,Houston Rockets
2006,2/21/2006, Recalled from the Florida Flame of the G-League.,Gerald Green,Recalled,no,no
2008,2/21/2008, Traded by the Minnesota Timberwolves to the Houston Rockets for Kirk Snyder and a 2010 2nd round draft pick (Paulão Prestes was later selected).,Gerald Green,Traded,no,no
2008,2/21/2008," As part of a 3-team trade, traded by the Chicago Bulls (as a future 2009 2nd round draft pick) with Joe Smith and Ben Wallace to the Cleveland Cavaliers",Danny Green,As,no,no
2013,2/21/2013, Traded by the Washington Wizards to the Boston Celtics for Leandro Barbosa and Jason Collins.,Jordan Crawford,Traded,no,no
2013,2/21/2013, Traded by the Orlando Magic to the Charlotte Bobcats for Hakim Warrick.,Josh McRoberts,Traded,no,no
2013,2/21/2013, Traded by the Phoenix Suns (as a future 2013 2nd round draft pick) to the Houston Rockets for Marcus Morris.,Isaiah Canaan,Traded,no,no
2013,2/21/2013," Traded by the Orlando Magic with Gustavo Ayón and Ish Smith to the Milwaukee Bucks for Tobias Harris, Doron Lamb, Beno Udrih and cash.",J.J. Redick,Traded,no,no
2013,2/21/2013, Traded by the Houston Rockets to the Phoenix Suns for a 2013 2nd round draft pick (Isaiah Canaan was later selected).,Marcus Morris,Traded,no,no
2013,2/21/2013," Traded by the Orlando Magic with Gustavo Ayón and J.J. Redick to the Milwaukee Bucks for Tobias Harris, Doron Lamb, Beno Udrih and cash.",Ish Smith,Traded,no,no
2013,2/21/2013," Traded by the Milwaukee Bucks with Doron Lamb, Beno Udrih and cash to the Orlando Magic for Gustavo Ayón, J.J. Redick and Ish Smith.",Tobias Harris,Traded,no,no
2015,2/21/2015, Waived by the Utah Jazz.,Kendrick Perkins,Waived,no,no
2015,2/21/2015, Claimed on waivers by the Philadelphia 76ers from the New Orleans Pelicans,Ish Smith,Claimed,hiladelphia 76ers from the New,hiladelphia 76ers from the New
2017,2/21/2017, Recalled from the of the G-League.,Briante Weber,Recalled,no,no
2017,2/21/2017, Recalled from the of the G-League.,Marcus Georges-Hunt,Recalled,no,no
2017,2/21/2017, Recalled from the of the G-League.,Okaro White,Recalled,no,no
2018,2/21/2018, Signed a 10-day contract with the New York Knicks.,Troy Williams,Signed,New York Knicks.,New York Knicks
2018,2/21/2018, Signed a 10-day contract with the New Orleans Pelicans.,Walt Lemon Jr.,Signed,New Orleans Pelicans.,New Orleans Pelicans
2018,2/21/2018, Signed a 10-day contract with the Indiana Pacers.,Trey McKinney-Jones,Signed,Indiana Pacers.,Indiana Pacers
2018,2/21/2018, Signed a 10-day contract with the Phoenix Suns.,Shaquille Harrison,Signed,Phoenix Suns.,Phoenix Suns
2019,2/21/2019, Signed a multi-year contract with the New York Knicks,John Jenkins,Signed,New York Knicks,New York Knicks
2019,2/21/2019, Signed a 10-day contract with the Phoenix Suns.,Ray Spalding,Signed,Phoenix Suns.,Phoenix Suns
